vds_id,year,contrib
IAP10A0009,2010,0.9
IAP10A0010,2010,2.1
IAP10A0030,2010,2.1
IAP10A0034,2010,5.1
IAP10A0035,2010,4.2
IAP10A0036,2010,2.1
IAP10A0038,2010,4.2
IAP10A0039,2010,2.1
IAP10A0043,2010,5.2
IAP10A0044,2010,10
IAP10A0046,2010,5.4
IAP10A0048,2010,3.1
IAP10A0053,2010,4.5
IAP10A0055,2010,6.1
IAP10A0058,2010,0.9
IAP10A0081,2010,2.1
IAP10A0082,2010,7.5
IAP10A0202,2010,5.4
IAP10A0203,2010,5.1
IAP10A0208,2010,6.3
IAP10A0209,2010,4.5
IAP10A0210,2010,5.1
IAP10A0212,2010,6.1
IAP10A0216,2010,7.2
IAP10A0217,2010,4.5
IAP10A0219,2010,2.1
IAP10A0220,2010,1.8
IAP10A0224,2010,5.2
IAP10A0225,2010,6.1
IAP10A0226,2010,3.3
IAP10A0227,2010,3.3
IAP10A0228,2010,4.2
IAP10A0229,2010,3.1
IAP10A0231,2010,5.4
IAP10A0232,2010,5.7
IAP10A0233,2010,3
IAP10A0234,2010,4.2
IAP10A0236,2010,5.1
IAP10A0237,2010,4.2
IAP10A0238,2010,3.3
IAP10A0239,2010,4.2
IAP10A0240,2010,6.7
IAP10A0241,2010,4.2
IAP10A0242,2010,2.1
IAP10A0297,2010,6
IAP10A0299,2010,4.3
IAP10A0300,2010,4.5
IAP10A0301,2010,5.4
IAP10A0302,2010,4.3
IAP10A0303,2010,3.1
IAP10A0304,2010,4.2
IAP10A0305,2010,4.2
IAP10A0306,2010,6
IAP10A0307,2010,3.9
IAP10A0308,2010,3.3
IAP10A0309,2010,5.7
IAP10A0311,2010,3.3
IAP10A0312,2010,4.2
IAP10A0314,2010,0.9
IAP10A0315,2010,5.1
IAP10A0316,2010,3.9
IAP10A0317,2010,5.4
IAP10A0320,2010,5.1
IAP10A0325,2010,4.5
IAP10A0328,2010,4.2
IAP10A0329,2010,4.2
IAP10A0330,2010,4.2
IAP10A1006,2010,1.8
IAP10A1124,2010,3.3
IAP10B0030,2010,5.1
IAP10B0032,2010,6
IAP10B0035,2010,3
IAP10B0036,2010,5.5
IAP10B0037,2010,10.1
IAP10B0038,2010,9.3
IAP10B0041,2010,3.3
IAP10B0043,2010,9.3
IAP10B0044,2010,7.5
IAP10B0046,2010,5.1
IAP10B0047,2010,2.1
IAP10B0049,2010,4.2
IAP10B0052,2010,5.7
IAP10B0053,2010,6
IAP10B0054,2010,4.2
IAP10B0055,2010,5.4
IAP10B0057,2010,5.7
IAP10B0058,2010,6.6
IAP10B0059,2010,3.3
IAP10B0200,2010,6.3
IAP10B0201,2010,2.1
IAP10B0203,2010,6.3
IAP10B0205,2010,5.3
IAP10B0207,2010,5.4
IAP10B0256,2010,5.2
IAP10B0257,2010,3.9
IAP10B0258,2010,5.1
IAP10B0259,2010,3.3
IAP10B0260,2010,3.9
IAP10B0275,2010,4.5
IAP10B0276,2010,6.3
IAP10B0277,2010,4.2
IAP10B0278,2010,6.3
IAP10B0280,2010,6.3
IAP10B0281,2010,4.5
IAP10B0284,2010,5.7
IAP10B0287,2010,5.4
IAP10B0288,2010,8.2
IAP10B0289,2010,2.1
IAP10B0290,2010,6
IAP10B0291,2010,2.1
IAP10B0293,2010,6.3
IAP10B0294,2010,2.1
IAP10B0296,2010,5.4
IAP10B0297,2010,4.5
IAP10B0298,2010,3
IAP10B0299,2010,4.5
IAP10B0303,2010,4.5
IAP10B1079,2010,5.2
IAP10C0001,2010,5.4
IAP10C0002,2010,6.9
IAP10C0003,2010,6.6
IAP10C0004,2010,5.1
IAP10C0005,2010,7.2
IAP10C0006,2010,4.2
IAP10C0007,2010,3
IAP10C0008,2010,2.1
IAP10C0009,2010,6
IAP10C0010,2010,5.1
IAP10C0030,2010,5.7
IAP10C0031,2010,2.1
IAP10C0032,2010,4.2
IAP10C0033,2010,4.5
IAP10C0034,2010,3.3
IAP10C0035,2010,5.4
IAP10C0036,2010,4.5
IAP10C0037,2010,2.1
IAP10C0038,2010,5.4
IAP10C0039,2010,8.4
IAP10C0040,2010,3.3
IAP10C0041,2010,4.5
IAP10C0042,2010,3.3
IAP10C0043,2010,3
IAP10C0044,2010,2.1
IAP10C0045,2010,3.3
IAP10C0046,2010,6
IAP10C0047,2010,4.5
IAP10C0048,2010,4.2
IAP10C0049,2010,4.2
IAP10C0050,2010,2.1
IAP10C0051,2010,3.3
IAP10C0052,2010,3.9
IAP10C0053,2010,4.8
IAP10C0054,2010,6.9
IAP10C0055,2010,4.2
IAP10C0056,2010,2.1
IAP10C0057,2010,2.1
IAP10C0058,2010,4.2
IAP10C0059,2010,3.3
IAP10D0001,2010,6.6
IAP10D0002,2010,3
IAP10D0003,2010,3.3
IAP10D0004,2010,4.5
IAP10D0005,2010,3.9
IAP10D0006,2010,7.5
IAP10D0007,2010,6
IAP10D0008,2010,5.7
IAP10D0009,2010,4.2
IAP10D0010,2010,6.3
IAP10D0030,2010,2.1
IAP10D0031,2010,6.1
IAP10D0033,2010,5.4
IAP10D0034,2010,3.9
IAP10D0035,2010,4.2
IAP10D0036,2010,4.2
IAP10D0037,2010,0.9
IAP10D0038,2010,5.2
IAP10D0039,2010,3.9
IAP10D0040,2010,3.3
IAP10D0041,2010,2.1
IAP10D0042,2010,4.2
IAP10D0043,2010,4.5
IAP10D0044,2010,4.2
IAP10D0045,2010,4.5
IAP10D0046,2010,5.4
IAP10D0047,2010,6
IAP10D0048,2010,3.9
IAP10D0049,2010,3.3
IAP10D0050,2010,3
IAP10D0051,2010,6.3
IAP10D0052,2010,4.2
IAP10D0053,2010,2.1
IAP10D0054,2010,5.3
IAP10D0055,2010,7.8
IAP10D0056,2010,2.1
IAP10D0057,2010,4.2
IAP10D0058,2010,5
IAP10D0059,2010,2.1
IAP10D0070,2010,4.2
IAP11A0008,2011,3.6
IAP11A0009,2011,0.9
IAP11A0010,2011,2.1
IAP11A0030,2011,2.1
IAP11A0034,2011,5
IAP11A0035,2011,4.1
IAP11A0036,2011,1.9
IAP11A0038,2011,4.2
IAP11A0039,2011,2.1
IAP11A0043,2011,4.3
IAP11A0044,2011,5.5
IAP11A0046,2011,5.5
IAP11A0048,2011,2.1
IAP11A0053,2011,4.5
IAP11A0055,2011,2.1
IAP11A0058,2011,0.9
IAP11A0081,2011,2.1
IAP11A0082,2011,7.9
IAP11A0202,2011,4.6
IAP11A0203,2011,4.5
IAP11A0208,2011,5.8
IAP11A0209,2011,3.9
IAP11A0210,2011,5.3
IAP11A0212,2011,5.3
IAP11A0216,2011,6.3
IAP11A0217,2011,4.5
IAP11A0219,2011,2.1
IAP11A0220,2011,1.8
IAP11A0224,2011,5
IAP11A0225,2011,5
IAP11A0226,2011,3.3
IAP11A0227,2011,3.3
IAP11A0228,2011,3.8
IAP11A0229,2011,2.1
IAP11A0231,2011,5
IAP11A0232,2011,5.3
IAP11A0233,2011,3.1
IAP11A0234,2011,3.9
IAP11A0236,2011,5.1
IAP11A0237,2011,3.1
IAP11A0238,2011,3
IAP11A0239,2011,4.1
IAP11A0240,2011,5.3
IAP11A0241,2011,3.9
IAP11A0242,2011,2.1
IAP11A0297,2011,6
IAP11A0300,2011,3.9
IAP11A0301,2011,6.3
IAP11A0302,2011,2.7
IAP11A0303,2011,2.8
IAP11A0304,2011,4.3
IAP11A0305,2011,4.1
IAP11A0306,2011,4.8
IAP11A0307,2011,3
IAP11A0308,2011,3.3
IAP11A0309,2011,4.9
IAP11A0311,2011,3.1
IAP11A0312,2011,4.3
IAP11A0314,2011,0.9
IAP11A0315,2011,5.2
IAP11A0316,2011,3.9
IAP11A0317,2011,4.9
IAP11A0320,2011,4.5
IAP11A0328,2011,4.1
IAP11A0329,2011,3.4
IAP11A0330,2011,4.1
IAP11A1006,2011,1.8
IAP11A1124,2011,3.1
IAP11B0030,2011,4.3
IAP11B0032,2011,5
IAP11B0035,2011,3
IAP11B0036,2011,4.5
IAP11B0037,2011,1.9
IAP11B0038,2011,8.7
IAP11B0041,2011,3.1
IAP11B0043,2011,7.9
IAP11B0046,2011,5.1
IAP11B0047,2011,2.1
IAP11B0049,2011,4.6
IAP11B0052,2011,5.3
IAP11B0053,2011,5.9
IAP11B0054,2011,4.1
IAP11B0055,2011,4.9
IAP11B0057,2011,5.7
IAP11B0058,2011,6.2
IAP11B0059,2011,2.5
IAP11B0200,2011,6.1
IAP11B0201,2011,2.1
IAP11B0203,2011,6.4
IAP11B0205,2011,3.3
IAP11B0207,2011,5.5
IAP11B0256,2011,4
IAP11B0257,2011,3.7
IAP11B0258,2011,4
IAP11B0259,2011,3.3
IAP11B0260,2011,3.9
IAP11B0275,2011,4.5
IAP11B0276,2011,5.9
IAP11B0277,2011,4.2
IAP11B0278,2011,5.8
IAP11B0280,2011,6.6
IAP11B0281,2011,3.7
IAP11B0284,2011,5.5
IAP11B0287,2011,4.9
IAP11B0288,2011,6.4
IAP11B0289,2011,3.1
IAP11B0290,2011,5.1
IAP11B0291,2011,2.1
IAP11B0293,2011,5.2
IAP11B0294,2011,2.5
IAP11B0296,2011,4.6
IAP11B0297,2011,4.1
IAP11B0298,2011,3.4
IAP11B0299,2011,3
IAP11B0303,2011,3.3
IAP11B1079,2011,4.3
IAP11C0001,2011,3.8
IAP11C0003,2011,5.5
IAP11C0004,2011,4.8
IAP11C0005,2011,7.2
IAP11C0006,2011,3.8
IAP11C0007,2011,5
IAP11C0008,2011,2.1
IAP11C0009,2011,5.6
IAP11C0010,2011,5.1
IAP11C0030,2011,4.6
IAP11C0031,2011,2.1
IAP11C0032,2011,5.3
IAP11C0033,2011,4.5
IAP11C0034,2011,3.3
IAP11C0035,2011,4.9
IAP11C0036,2011,4.3
IAP11C0037,2011,2.1
IAP11C0038,2011,4.6
IAP11C0039,2011,7.7
IAP11C0040,2011,3.3
IAP11C0041,2011,5.2
IAP11C0042,2011,4.2
IAP11C0043,2011,3.1
IAP11C0045,2011,3.1
IAP11C0046,2011,6.1
IAP11C0047,2011,3.4
IAP11C0048,2011,4.2
IAP11C0049,2011,4.2
IAP11C0051,2011,3.1
IAP11C0052,2011,4
IAP11C0053,2011,4.4
IAP11C0054,2011,6.3
IAP11C0055,2011,4.3
IAP11C0056,2011,2.1
IAP11C0057,2011,2.1
IAP11C0058,2011,4.6
IAP11C0059,2011,3.3
IAP11C0060,2011,4.2
IAP11C0080,2011,5
IAP11C0090,2011,4.2
IAP11D0001,2011,5.5
IAP11D0002,2011,3.1
IAP11D0003,2011,3.1
IAP11D0004,2011,3.7
IAP11D0005,2011,4
IAP11D0006,2011,6.4
IAP11D0007,2011,5.4
IAP11D0009,2011,4.3
IAP11D0010,2011,5.9
IAP11D0030,2011,2.1
IAP11D0031,2011,5
IAP11D0033,2011,5.3
IAP11D0034,2011,4.3
IAP11D0035,2011,4
IAP11D0036,2011,4
IAP11D0037,2011,0.9
IAP11D0038,2011,4.2
IAP11D0039,2011,3.9
IAP11D0040,2011,2.9
IAP11D0041,2011,2.1
IAP11D0042,2011,4.3
IAP11D0043,2011,4.5
IAP11D0044,2011,4.2
IAP11D0045,2011,4.5
IAP11D0046,2011,5.2
IAP11D0047,2011,6.2
IAP11D0048,2011,3.9
IAP11D0049,2011,2.9
IAP11D0050,2011,3.1
IAP11D0051,2011,6.1
IAP11D0052,2011,4.2
IAP11D0053,2011,2.1
IAP11D0054,2011,3.3
IAP11D0055,2011,7.8
IAP11D0056,2011,2.1
IAP11D0057,2011,4.2
IAP11D0058,2011,3
IAP11D0059,2011,2.1
IAP11D0060,2011,3.7
IAP11D0070,2011,4.2
IAP12A0008,2012,3.9
IAP12A0010,2012,2.1
IAP12A0030,2012,2.1
IAP12A0034,2012,5.2
IAP12A0035,2012,2.1
IAP12A0036,2012,0.9
IAP12A0038,2012,4.2
IAP12A0039,2012,2.1
IAP12A0043,2012,3.1
IAP12A0044,2012,6
IAP12A0046,2012,6.4
IAP12A0048,2012,2.1
IAP12A0053,2012,4.5
IAP12A0055,2012,2.1
IAP12A0058,2012,0.9
IAP12A0081,2012,2.1
IAP12A0082,2012,8.1
IAP12A0202,2012,4.8
IAP12A0203,2012,4.8
IAP12A0208,2012,5.9
IAP12A0209,2012,4.1
IAP12A0210,2012,4.3
IAP12A0212,2012,4.3
IAP12A0216,2012,6.8
IAP12A0217,2012,4.5
IAP12A0219,2012,2.1
IAP12A0220,2012,1.8
IAP12A0224,2012,5.4
IAP12A0225,2012,5.1
IAP12A0226,2012,4.2
IAP12A0227,2012,3.3
IAP12A0228,2012,3.8
IAP12A0229,2012,2.1
IAP12A0231,2012,5.2
IAP12A0232,2012,5.5
IAP12A0233,2012,2.1
IAP12A0234,2012,4.1
IAP12A0236,2012,2.1
IAP12A0237,2012,3.8
IAP12A0238,2012,3
IAP12A0239,2012,4
IAP12A0240,2012,6.1
IAP12A0241,2012,3.1
IAP12A0242,2012,2.1
IAP12A0297,2012,6.1
IAP12A0300,2012,4.1
IAP12A0301,2012,6.6
IAP12A0302,2012,2.7
IAP12A0303,2012,2.8
IAP12A0304,2012,4.3
IAP12A0305,2012,4.1
IAP12A0307,2012,3.5
IAP12A0308,2012,3.3
IAP12A0309,2012,5.1
IAP12A0311,2012,3.3
IAP12A0312,2012,4.6
IAP12A0314,2012,0.9
IAP12A0315,2012,5.2
IAP12A0316,2012,3.9
IAP12A0317,2012,4.9
IAP12A0328,2012,4.1
IAP12A0329,2012,3.4
IAP12A0330,2012,4.1
IAP12A0333,2012,3.3
IAP12A0334,2012,3
IAP12A1006,2012,1.8
IAP12B0030,2012,4.3
IAP12B0032,2012,5.5
IAP12B0035,2012,3
IAP12B0036,2012,4.5
IAP12B0037,2012,1.9
IAP12B0038,2012,9.2
IAP12B0041,2012,3.1
IAP12B0043,2012,8
IAP12B0046,2012,5.2
IAP12B0047,2012,2.1
IAP12B0049,2012,4.6
IAP12B0052,2012,5.3
IAP12B0053,2012,5.9
IAP12B0054,2012,4.1
IAP12B0055,2012,5.1
IAP12B0057,2012,5.7
IAP12B0058,2012,6.2
IAP12B0059,2012,2.9
IAP12B0200,2012,6.2
IAP12B0201,2012,2.1
IAP12B0203,2012,5.4
IAP12B0207,2012,4.5
IAP12B0256,2012,4
IAP12B0257,2012,4.3
IAP12B0258,2012,4
IAP12B0260,2012,3.9
IAP12B0275,2012,4.5
IAP12B0276,2012,5.9
IAP12B0277,2012,4.2
IAP12B0278,2012,5.8
IAP12B0280,2012,7.5
IAP12B0281,2012,3.7
IAP12B0284,2012,6.4
IAP12B0287,2012,4.7
IAP12B0288,2012,6.8
IAP12B0289,2012,2.1
IAP12B0290,2012,5.3
IAP12B0291,2012,2.1
IAP12B0293,2012,5.2
IAP12B0294,2012,2.5
IAP12B0296,2012,3.6
IAP12B0297,2012,3.1
IAP12B0298,2012,2.3
IAP12B0299,2012,3.1
IAP12B0303,2012,3.4
IAP12B1079,2012,4.3
IAP12C0001,2012,3.9
IAP12C0003,2012,6
IAP12C0004,2012,5.1
IAP12C0005,2012,7.2
IAP12C0006,2012,4.1
IAP12C0007,2012,5
IAP12C0008,2012,2.1
IAP12C0009,2012,5.6
IAP12C0010,2012,5.3
IAP12C0030,2012,4.6
IAP12C0031,2012,2.1
IAP12C0032,2012,4.3
IAP12C0033,2012,4.5
IAP12C0034,2012,3.3
IAP12C0035,2012,3.9
IAP12C0036,2012,4.5
IAP12C0038,2012,4.6
IAP12C0039,2012,7.7
IAP12C0040,2012,3.3
IAP12C0041,2012,5.4
IAP12C0042,2012,4.2
IAP12C0043,2012,3.1
IAP12C0045,2012,2.1
IAP12C0046,2012,5.3
IAP12C0047,2012,3.4
IAP12C0048,2012,4.2
IAP12C0049,2012,4.2
IAP12C0052,2012,4
IAP12C0053,2012,4.9
IAP12C0054,2012,6.3
IAP12C0055,2012,4.2
IAP12C0056,2012,2.1
IAP12C0057,2012,2.1
IAP12C0058,2012,5
IAP12C0059,2012,3.3
IAP12C0060,2012,4.5
IAP12C0070,2012,5.3
IAP12C0080,2012,5
IAP12C0090,2012,4.2
IAP12C0091,2012,3.1
IAP12D0001,2012,5.6
IAP12D0002,2012,3.1
IAP12D0003,2012,3.1
IAP12D0004,2012,3.7
IAP12D0005,2012,4
IAP12D0006,2012,7.3
IAP12D0007,2012,5.4
IAP12D0009,2012,3.3
IAP12D0010,2012,6.3
IAP12D0030,2012,2.1
IAP12D0031,2012,5.1
IAP12D0033,2012,4.3
IAP12D0034,2012,4.4
IAP12D0035,2012,3
IAP12D0036,2012,4
IAP12D0037,2012,0.9
IAP12D0038,2012,4.2
IAP12D0039,2012,3.9
IAP12D0040,2012,2.9
IAP12D0041,2012,2.1
IAP12D0042,2012,3.3
IAP12D0043,2012,4.5
IAP12D0044,2012,4.2
IAP12D0045,2012,5.4
IAP12D0046,2012,4.2
IAP12D0047,2012,6.2
IAP12D0048,2012,3.9
IAP12D0049,2012,2.9
IAP12D0050,2012,2.1
IAP12D0051,2012,6.1
IAP12D0052,2012,4.2
IAP12D0053,2012,2.1
IAP12D0054,2012,3.3
IAP12D0055,2012,8.7
IAP12D0056,2012,2.1
IAP12D0057,2012,4.2
IAP12D0058,2012,3
IAP12D0059,2012,2.1
IAP12D0060,2012,3.7
IAP12D0070,2012,4.3
IAP13A0008,2013,4
IAP13A0010,2013,2
IAP13A0030,2013,2
IAP13A0034,2013,5
IAP13A0035,2013,2
IAP13A0036,2013,1
IAP13A0038,2013,4
IAP13A0039,2013,2
IAP13A0043,2013,2
IAP13A0044,2013,3
IAP13A0046,2013,6
IAP13A0048,2013,3
IAP13A0053,2013,4
IAP13A0055,2013,2
IAP13A0058,2013,1
IAP13A0081,2013,2
IAP13A0082,2013,2
IAP13A0202,2013,5
IAP13A0203,2013,5
IAP13A0208,2013,7
IAP13A0209,2013,4
IAP13A0210,2013,3
IAP13A0212,2013,4
IAP13A0216,2013,7
IAP13A0217,2013,4
IAP13A0219,2013,2
IAP13A0220,2013,2
IAP13A0224,2013,7
IAP13A0225,2013,4
IAP13A0226,2013,5
IAP13A0227,2013,3
IAP13A0228,2013,4
IAP13A0229,2013,2
IAP13A0231,2013,5
IAP13A0232,2013,5
IAP13A0233,2013,2
IAP13A0234,2013,4
IAP13A0236,2013,2
IAP13A0237,2013,5
IAP13A0238,2013,4
IAP13A0239,2013,4
IAP13A0240,2013,6
IAP13A0241,2013,4
IAP13A0242,2013,2
IAP13A0297,2013,5
IAP13A0300,2013,4
IAP13A0301,2013,6
IAP13A0302,2013,3
IAP13A0303,2013,3
IAP13A0304,2013,4
IAP13A0305,2013,4
IAP13A0307,2013,4
IAP13A0308,2013,3
IAP13A0309,2013,5
IAP13A0311,2013,3
IAP13A0312,2013,5
IAP13A0314,2013,1
IAP13A0315,2013,4
IAP13A0316,2013,4
IAP13A0317,2013,5
IAP13A0328,2013,4
IAP13A0329,2013,4
IAP13A0330,2013,4
IAP13A0333,2013,3
IAP13A1006,2013,2
IAP13B0030,2013,5
IAP13B0032,2013,7
IAP13B0035,2013,3
IAP13B0036,2013,5
IAP13B0037,2013,2
IAP13B0038,2013,11
IAP13B0041,2013,3
IAP13B0043,2013,10
IAP13B0046,2013,4
IAP13B0047,2013,2
IAP13B0049,2013,5
IAP13B0052,2013,6
IAP13B0053,2013,7
IAP13B0054,2013,4
IAP13B0055,2013,5
IAP13B0057,2013,6
IAP13B0058,2013,6
IAP13B0059,2013,4
IAP13B0200,2013,8
IAP13B0201,2013,2
IAP13B0203,2013,6
IAP13B0207,2013,4
IAP13B0256,2013,4
IAP13B0257,2013,5
IAP13B0258,2013,5
IAP13B0260,2013,4
IAP13B0275,2013,4
IAP13B0276,2013,6
IAP13B0277,2013,4
IAP13B0278,2013,6
IAP13B0280,2013,9
IAP13B0281,2013,4
IAP13B0284,2013,7
IAP13B0287,2013,4
IAP13B0288,2013,7
IAP13B0289,2013,2
IAP13B0290,2013,6
IAP13B0291,2013,2
IAP13B0293,2013,6
IAP13B0294,2013,3
IAP13B0296,2013,4
IAP13B0297,2013,3
IAP13B0298,2013,2
IAP13B0299,2013,4
IAP13B0303,2013,4
IAP13B1079,2013,4
IAP13C0001,2013,5
IAP13C0003,2013,6
IAP13C0004,2013,4
IAP13C0005,2013,7
IAP13C0006,2013,5
IAP13C0007,2013,5
IAP13C0008,2013,2
IAP13C0009,2013,6
IAP13C0010,2013,5
IAP13C0030,2013,6
IAP13C0031,2013,2
IAP13C0032,2013,5
IAP13C0033,2013,4
IAP13C0034,2013,3
IAP13C0035,2013,4
IAP13C0036,2013,4
IAP13C0038,2013,5
IAP13C0039,2013,8
IAP13C0040,2013,3
IAP13C0041,2013,6
IAP13C0042,2013,4
IAP13C0043,2013,3
IAP13C0045,2013,4
IAP13C0046,2013,6
IAP13C0047,2013,4
IAP13C0048,2013,5
IAP13C0049,2013,5
IAP13C0052,2013,4
IAP13C0053,2013,5
IAP13C0054,2013,7
IAP13C0055,2013,4
IAP13C0056,2013,2
IAP13C0057,2013,2
IAP13C0058,2013,6
IAP13C0059,2013,3
IAP13C0060,2013,5
IAP13C0070,2013,5
IAP13C0080,2013,5
IAP13C0090,2013,4
IAP13C0091,2013,3
IAP13C0200,2013,2
IAP13D0001,2013,5
IAP13D0002,2013,4
IAP13D0003,2013,3
IAP13D0004,2013,4
IAP13D0005,2013,4
IAP13D0006,2013,9
IAP13D0007,2013,6
IAP13D0009,2013,3
IAP13D0010,2013,7
IAP13D0030,2013,2
IAP13D0031,2013,6
IAP13D0033,2013,4
IAP13D0034,2013,4
IAP13D0035,2013,3
IAP13D0036,2013,4
IAP13D0037,2013,1
IAP13D0038,2013,4
IAP13D0039,2013,5
IAP13D0040,2013,3
IAP13D0041,2013,2
IAP13D0042,2013,4
IAP13D0043,2013,4
IAP13D0044,2013,4
IAP13D0045,2013,6
IAP13D0046,2013,4
IAP13D0047,2013,6
IAP13D0048,2013,4
IAP13D0049,2013,3
IAP13D0050,2013,2
IAP13D0051,2013,6
IAP13D0052,2013,4
IAP13D0053,2013,2
IAP13D0054,2013,3
IAP13D0055,2013,8
IAP13D0056,2013,2
IAP13D0057,2013,4
IAP13D0058,2013,3
IAP13D0059,2013,2
IAP13D0060,2013,4
IAP13D0070,2013,3
IAP14C0001,2014,5
IAP14C0003,2014,6
IAP14C0004,2014,4
IAP14C0005,2014,6
IAP14C0006,2014,5
IAP14C0007,2014,3
IAP14C0008,2014,2
IAP14C0009,2014,6
IAP14C0010,2014,5
IAP14C0030,2014,6
IAP14C0031,2014,3
IAP14C0032,2014,5
IAP14C0033,2014,4
IAP14C0034,2014,3
IAP14C0035,2014,4
IAP14C0036,2014,6
IAP14C0038,2014,5
IAP14C0039,2014,8
IAP14C0040,2014,3
IAP14C0041,2014,7
IAP14C0042,2014,2
IAP14C0043,2014,2
IAP14C0045,2014,4
IAP14C0046,2014,6
IAP14C0047,2014,4
IAP14C0048,2014,5
IAP14C0049,2014,5
IAP14C0052,2014,4
IAP14C0053,2014,5
IAP14C0054,2014,7
IAP14C0055,2014,4
IAP14C0056,2014,2
IAP14C0057,2014,2
IAP14C0058,2014,7
IAP14C0059,2014,3
IAP14C0060,2014,5
IAP14C0070,2014,5
IAP14C0080,2014,5
IAP14C0090,2014,4
IAP14C0091,2014,3
IAP14C0200,2014,3
IAP14C0201,2014,3
IAP14D0001,2014,5
IAP14D0002,2014,4
IAP14D0003,2014,3
IAP14D0004,2014,4
IAP14D0005,2014,4
IAP14D0006,2014,9
IAP14D0007,2014,6
IAP14D0009,2014,4
IAP14D0010,2014,7
IAP14D0030,2014,2
IAP14D0031,2014,6
IAP14D0033,2014,4
IAP14D0034,2014,5
IAP14D0035,2014,7
IAP14D0036,2014,4
IAP14D0037,2014,1
IAP14D0038,2014,4
IAP14D0039,2014,5
IAP14D0040,2014,3
IAP14D0041,2014,2
IAP14D0042,2014,5
IAP14D0043,2014,4
IAP14D0044,2014,4
IAP14D0045,2014,6
IAP14D0046,2014,4
IAP14D0047,2014,6
IAP14D0048,2014,4
IAP14D0049,2014,3
IAP14D0050,2014,2
IAP14D0051,2014,6
IAP14D0052,2014,4
IAP14D0053,2014,2
IAP14D0054,2014,3
IAP14D0055,2014,6
IAP14D0056,2014,2
IAP14D0057,2014,3
IAP14D0058,2014,2
IAP14D0059,2014,2
IAP14D0060,2014,4
IAP14D0070,2014,3
